id,created_at,updated_at,name,note
57,2024-09-20 15:35:09.130 +0900,2024-09-20 15:35:09.130 +0900,B2C,B2C 형태로 사업/서비스를 경험한 것을 의미합니다.
41,2024-08-19 18:14:56.313 +0900,2024-09-20 15:40:00.629 +0900,대용량 트래픽,MSA 환경 등이 필요할 정도로 큰 트래픽 처리가 필요한 서비스 경험을 의미합니다.
58,2024-09-20 15:40:25.053 +0900,2024-09-20 15:40:25.053 +0900,콘텐츠/예술,"콘텐츠/예술 관련 도메인 경험을 의미합니다. 대표적으로 OTT, 웹툰 등이 있습니다."
32,2024-08-02 19:17:40.787 +0900,2024-09-20 16:59:25.365 +0900,js & nest.js,"개발 하드 스킬 중, js (ts) 기반의 nest.js 프레임 워크 2년 이상의 현업 경험을 의미합니다."
56,2024-09-07 11:28:39.650 +0900,2025-01-06 15:40:27.360 +0900,BE,backend-engineering 경험을 의미합니다. 순수 만 2년 이상을 의미합니다.
55,2024-09-07 11:28:29.941 +0900,2025-01-06 16:27:06.778 +0900,DE,data-engineering 경험을 의미합니다. 순수 만 2년 이상을 의미합니다.
225,2025-03-03 01:47:10.942 +0900,2025-03-03 01:47:10.942 +0900,POS,Point of sales 시스템 경험
11,2024-06-17 22:00:13.016 +0900,2025-06-17 15:24:27.492 +0900,리더십,"파트장, 팀장, 실장 등 조직내, 사내, 리더 경험을 의미합니다."
48,2024-08-27 16:29:07.717 +0900,2024-08-27 16:29:07.717 +0900,Data-driven,"사용자 기반의 정량 데이터, 또는 User Research를 통한 사용자 조사 기반의 정성 데이터를 활용한 서비스 기획/디자인 의사결정 경험을 의미합니다."
6,2024-06-12 15:30:53.737 +0900,2025-07-16 13:53:21.656 +0900,유관도메인,유관 도메인에서 3년 이상 같은 직무를 진행함을 나타냅니다.
50,2024-08-28 18:05:09.886 +0900,2025-09-24 22:30:21.750 +0900,사업기획/전략,새로운 사업 확장을 위한 기획 및 전략 수립 경험 또는 기존 사업의 고도화 기획/전략 경험
67,2024-09-26 13:37:40.563 +0900,2024-09-26 13:37:40.563 +0900,엔터테인먼트,"엔터테인먼트 관련 도메인 경험을 의미합니다. 대표적으로 게임, 기획사, 인플루언서 관련 서비스 등이 있습니다."
68,2024-09-26 22:07:45.720 +0900,2024-09-26 22:07:45.720 +0900,머신 러닝,AI 관련 실무 중 machine learning 과 관련된 실무 경험을 의미합니다.
70,2024-09-27 01:11:44.671 +0900,2024-09-27 01:11:44.671 +0900,추천 시스템,추천 알고리즘 개발 / AI & ML & DL 기반 추천 시스템 구축 경험 / 해당 추천 시스템에 실시간 API 서빙 등의 경험을 의미합니다.
107,2024-10-25 17:32:06.489 +0900,2024-10-25 17:32:06.489 +0900,일본어,외국어 중 일본어 사용능력이 비즈니스 커뮤케이션 이상이 되는 것을 의미합니다.
77,2024-10-06 01:27:10.357 +0900,2024-10-06 01:27:10.357 +0900,프로젝트 정보,컨설팅 프로젝트 정보 일부라도 있는 경우
78,2024-10-10 11:41:06.192 +0900,2024-10-10 11:41:06.192 +0900,MATLAB/SIMULINK,"모델을 설계하고 시뮬레이션을 통한 검증 솔루션, MATLAB/SIMULINK 사용 경험을 의미합니다."
79,2024-10-10 11:41:14.925 +0900,2024-10-10 11:41:14.925 +0900,임베디드,H/W에 임베디드되는 S/W 개발 경험을 의미합니다.
80,2024-10-10 11:41:23.724 +0900,2024-10-10 11:41:23.724 +0900,AUTOSAR,자동차 ECU의 개방형 표준 소프트웨어 구조를 따르는 개발 또는 설계 경험을 의미합니다.
81,2024-10-10 11:43:10.892 +0900,2024-10-10 11:43:10.892 +0900,자동차 네트워크,자동차 모듈간 또는 자동차와 이기종간의 통신을 위한 다양한 네트워크 실무 경험을 의미합니다. (CAN/LIN/ETH 등)
82,2024-10-10 11:43:27.499 +0900,2024-10-10 11:43:27.499 +0900,자율주행차 경진 대회,"자율 주행과 관련된 경진 대회 참여, 입상 경험을 의미합니다."
83,2024-10-10 14:30:28.949 +0900,2024-10-10 14:30:28.949 +0900,영어,외국어 중 영어 사용능력이 비즈니스 커뮤케이션 이상이 되는 것을 의미합니다.
84,2024-10-10 14:30:58.109 +0900,2024-10-10 14:30:58.109 +0900,관련 석사 / 박사,고객사가 원하는 맞춤 분야의 석사 또는 박사 학위가 있는 것을 의미합니다.
85,2024-10-11 17:33:04.596 +0900,2024-10-11 17:33:04.596 +0900,HIL,Hardware-in-the-Loop 실무 경험을 의미합니다.
86,2024-10-14 11:11:46.632 +0900,2024-10-14 11:11:46.632 +0900,ECU TEST,ECU(Electronic Control Unit) 을 테스트 하는 솔루션 또는 테스팅하는 실무 경험을 의미합니다.
89,2024-10-15 15:50:14.885 +0900,2024-10-15 15:50:14.885 +0900,Private Cloud,"AWS, GCP 등의 public cloud 외 사내 private cloud 구축 실무 경험을 의미합니다."
90,2024-10-15 15:50:22.584 +0900,2024-10-15 15:50:22.584 +0900,Istio,MSA 환경에서 효율적인 서비스 매시 구성을 위한 Istio 실무 경험을 의미합니다.
92,2024-10-15 15:50:36.581 +0900,2024-10-15 15:50:36.581 +0900,대규모 분산 & K8S,대규모 분산 서비스 (대규모 MSA 환경) 를 위한 K8S 실무 경험을 의미합니다.
93,2024-10-15 16:36:01.041 +0900,2024-10-15 16:36:01.041 +0900,MNC,다국적 기업 (multinational corporation)
94,2024-10-15 16:39:05.213 +0900,2024-10-15 16:39:05.213 +0900,대형SW,"대형 소프트웨어, 솔루션 판매 기업 (AWS 외)"
30,2024-07-31 20:47:06.409 +0900,2024-10-15 16:43:08.670 +0900,Java & Spring,java 와 spring 기반 BE 실무 경험을 의미합니다.
95,2024-10-16 14:43:26.499 +0900,2024-10-16 14:43:26.499 +0900,상품 카탈로그,"고객에게 구매할 수 있는 상품 목록을 제공 하거나, 판매자 및 공급업체로부터 유입되는 상품 데이터 처리 하거나, 실시간 상품 관리 및 검색을 지원하는 유관 도메인 개발 경험을 의미합니다."
96,2024-10-16 14:43:33.317 +0900,2024-10-16 14:43:33.317 +0900,주문 시스템,"주문, 결제, 배송, 정산, 쿠폰 등 이커머스과 밀접한 유관 도메인 개발 경험을 의미합니다."
97,2024-10-21 16:54:38.872 +0900,2024-10-21 16:54:38.872 +0900,헬스 케어,"헬스 케어 관련 도메인 경험을 의미합니다. 건강 관리, 의료 서비스, 웰니스, 예방 의료, 제약, 디지털 헬스케어 등을 의미합니다."
103,2024-10-24 16:59:01.565 +0900,2024-10-24 16:59:01.565 +0900,채널 관리,"meta, naver 등 광고 플랫폼을 포함한 유입 마케팅 채널을 관리한 경험을 의미합니다."
104,2024-10-24 16:59:09.597 +0900,2024-10-24 16:59:09.597 +0900,인플루언서,"Influencer 또는 외부 유명인사를 통한 대외 마케팅, PR 경험을 의미합니다."
105,2024-10-24 16:59:17.380 +0900,2024-10-24 16:59:17.380 +0900,콘텐츠 마케팅,"on & off line, digital 을 포함한 contents 기반 마케팅 경험을 의미합니다."
111,2024-10-28 11:07:07.443 +0900,2024-10-28 11:07:07.443 +0900,해외 유학/근무 경험,해외에서 유학 or 근무한 경험 보유자
113,2024-10-28 16:42:38.732 +0900,2024-10-28 16:42:38.732 +0900,스마트팜,"스마트팜 시스템, 유관 산업 도메인, Agriculture + Tech (애그테크) 경험을 의미합니다."
114,2024-10-28 16:42:49.474 +0900,2024-10-28 16:42:49.474 +0900,로보틱스,로봇과 관련된 유관 산업 도메인 에서 실제 로봇과 관련된 H/W or S/W 실무 경험을 의미합니다.
115,2024-10-28 16:43:17.313 +0900,2024-10-28 16:43:17.313 +0900,기구설계,"기계 설계, 프레임 및 로봇 매커니즘 설계에 대한 “기구” 를 직접 설계 해 본 경험을 의미합니다."
99,2024-10-23 17:09:58.075 +0900,2025-05-21 12:47:45.039 +0900,Agency,디지털 마케팅 등의 에이전시 경험 2년 이상을 의미합니다.
65,2024-09-25 21:23:40.247 +0900,2025-06-10 11:00:07.910 +0900,상위권 대학,"서울대, 한국과학기술원(KAIST), 고려대, 연세대, 포항공대(POSTECH), 성균관대, 한양대, 경희대, 서강대, 울산과학기술원(UNIST) 경험을 의미합니다."
91,2024-10-15 15:50:29.256 +0900,2025-07-09 15:30:30.977 +0900,Go or TS,Go lang 또는 Typescript 의 실무 경험 2년 이상을 의미합니다. (블록체인을 위해 만들어진 태그)
98,2024-10-23 17:08:40.626 +0900,2025-09-29 15:55:37.593 +0900,뷰티,"뷰티, 화장품과 관련된 산업 도메인 경험을 의미합니다."
116,2024-10-28 16:43:27.388 +0900,2024-10-28 16:43:27.388 +0900,3D 모델링 & 설계,"솔리드웍스, CATIA 등 설계 도구를 통해 3D 모델링을 해 본 경험을 의미합니다."
117,2024-10-30 13:22:41.599 +0900,2024-10-30 13:22:41.599 +0900,ex VPE,재직한 회사에서 vice president of engineering 직무 경험을 의미합니다.
118,2024-10-30 13:22:47.539 +0900,2024-10-30 13:22:47.539 +0900,ex CTO,재직한 회사에서 chief of technology officer 직무 경험을 의미합니다.
121,2024-11-06 15:45:29.011 +0900,2024-11-06 15:45:29.011 +0900,마그네슘 정제,마그네슘을 고순도로 정제하는 공정 설계와 정제 과정의 최적화 경험을 의미합니다.
122,2024-11-06 15:45:35.975 +0900,2024-11-06 15:45:35.975 +0900,원소 추출 경험,다양한 금속 및 원소의 추출과 분리 공정에 대한 지식과 경험을 의미합니다.
123,2024-11-06 15:45:43.615 +0900,2024-11-06 15:45:43.615 +0900,비철 금속 및 정밀 화학업종,비철 금속 및 정밀 화학업종에서의 제조 및 생산 관리 경험을 의미합니다.
124,2024-11-06 23:25:22.769 +0900,2024-11-07 12:17:04.325 +0900,일본 이커머스 운영,"QSM, Qxpress, Rakuten, Amazon Japan, Yahoo! Japan 등 일본 이커머스 플랫폼 운영/관리 경험"
133,2024-11-12 11:56:51.263 +0900,2024-11-12 11:56:51.263 +0900,js & next.js,"개발 하드 스킬 중, js (ts) 기반의 next.js 프레임 워크 2년 이상의 현업 경험을 의미합니다."
134,2024-11-12 12:00:02.529 +0900,2024-11-12 12:00:02.529 +0900,가상화폐,"블록 체인 기반의 Crypto Currency, 가상 화폐 도메인 경험을 의미합니다."
135,2024-11-12 13:33:15.200 +0900,2024-11-12 13:33:15.200 +0900,flutter,"flutter 프레임 워크를 사용하여 모바일 애플리케이션을 개발한 경험을 의미합니다. iOS &  Android 에서의 크로스플랫폼 개발, 2년 이상의 현업 경험을 의미합니다."
136,2024-11-12 17:28:55.370 +0900,2024-11-12 17:28:55.370 +0900,실시간 / 통계 / 대시보드,실시간으로 통신이 이뤄지며 빈번한 랜더링을 요구하는 pro
128,2024-11-10 21:32:52.550 +0900,2024-11-15 09:27:01.372 +0900,CS/CX/CSM,"CS, CX, 고객성공매니저 등 유관 직무"
147,2024-11-25 13:47:08.946 +0900,2024-11-25 13:47:08.948 +0900,크롤링 or 스크래핑,"외부 데이터를 수집하기 위한 스크래핑, 데이터 수집 프로세스 & 파이프라인 구축 경험을 의미합니다. 더 고차원 적인 프로세스, 크롤링 경험도 넓은 의미에서 포함합니다."
148,2024-11-25 17:07:56.261 +0900,2024-11-25 17:07:56.261 +0900,고속성장경험,빠르게 매출이 성장한 경험 (최소 2배)
153,2024-11-26 14:12:48.376 +0900,2024-11-26 14:12:48.376 +0900,VC 네트워크,VC 출신 혹은 창업가 출신으로 네트워크
163,2024-12-16 17:20:52.609 +0900,2024-12-16 17:20:52.609 +0900,지역 유관,"한국 국내 특정 지역중 학위, 혹은 재직 경험"
164,2024-12-16 17:23:28.650 +0900,2024-12-16 17:23:28.650 +0900,비즈니스 경험,(비즈니스 비 유관 직무자의 경험 태그)
167,2025-01-06 16:27:33.678 +0900,2025-01-06 16:27:33.678 +0900,대규모 데이터 처리 경험,"Apache Spark, Hadoop, PySpark 와 같은 도구를 활용해 병렬/분산 환경에서 데이터를 다룬 경험, Airflow 등과 같은 워크플로우 관리 도구를 기반으로 데이터 수집, 정제, 변환, 저장의 ETL 프로세스, 파이프라이닝 경험을 의미합니다."
168,2025-01-06 16:28:31.691 +0900,2025-01-06 16:28:31.691 +0900,유사 ML 서비스,"(from 부릉 AI/ML) 추천 시스템을 위한 ML, 실시간 최적화를 위한 ML, 강화학습 기반으로 고도화된 의사결정을 만드는 ML, 셋 중 하나의 실무 경험을 의미합니다."
119,2024-10-30 13:23:08.189 +0900,2025-01-13 16:07:00.689 +0900,20인 이상 조직,합류/근무 시기에 20인 이상 되는 자체 팀 리딩한 경험을 의미합니다.
170,2025-01-15 14:37:56.667 +0900,2025-01-15 14:37:56.667 +0900,BM/PM,실물 관련 브랜드 매니저 혹은 프로덕트 매니저
172,2025-01-15 15:04:50.686 +0900,2025-01-15 15:04:50.686 +0900,대규모 B2B 서비스,B2B 서비스를 기반으로 소수의 고객사 대상 대규모 서비스 보다 대규모의 기업 고객을 위한 서비스 경험을 의미합니다. (mofl로 추가됨)
173,2025-01-15 15:05:06.611 +0900,2025-01-15 15:05:06.611 +0900,RPA,"업무의 자동화를 위한 서비스, 반복적이고 규칙 기반의 업무를 자동화한 경험을 의미합니다. (UiPath를 사용하여 ERP 시스템의 데이터 입력 및 청구서 처리 프로세스를 자동화 등)"
176,2025-01-15 17:49:31.903 +0900,2025-01-15 17:56:20.734 +0900,비주얼 브랜딩,브랜드의 마케팅 파트 중 비주얼 브랜딩 업무를 중심으로 진행해본 경험을 의미합니다.
131,2024-11-10 23:49:35.162 +0900,2025-03-11 23:35:49.345 +0900,AI/ML,"AI 중 ML(Machine Learning) 과 관련된 데이터 패턴, 라벨링, 스키마 분석, 학습과 추론 모델, 강화 학습 프로젝트 경험을 의미합니다."
178,2025-01-15 17:54:11.320 +0900,2025-01-15 17:54:11.320 +0900,화보/광고 총괄 디렉팅,"화보/광고 기획, 촬영, 편집의 모든 과정에 중심 커뮤니케이터이자 총괄자로 참여한 경험을 의미합니다."
175,2025-01-15 17:48:06.406 +0900,2025-01-15 18:05:17.601 +0900,브랜드 SNS 콘텐츠,"특정 인스타그램, 제품 사이트의 상세페이지 등 브랜드의 SNS 콘텐츠 기획, 촬영, 편집 등의 과정에 주도적으로 참여해 본 경험을 의미합니다."
180,2025-01-21 16:17:25.145 +0900,2025-01-21 16:17:25.145 +0900,데이터 분석 역량,"GA4, Amplutude와 같은 분석 툴 활용 경험이나 SQL 활용 역량 보유, 혹은 수집된 데이터 수치를 통해 광고/마케팅 전략을 개선하고 기획해 본 경험을 의미합니다."
181,2025-01-21 16:17:57.424 +0900,2025-01-21 16:17:57.424 +0900,유저 획득(UA) 경험,"UA(User Auqisition), 잠재 유저에게 상품 및 서비스를 적극적으로 홍보하기 위해 해당 유저들의 DB 수집 목적으로 전략 기획 및 실행 경험을 의미합니다."
182,2025-01-21 16:18:18.280 +0900,2025-01-21 16:18:18.280 +0900,브랜드 커뮤니케이션 전략 경험,"통합 매체(매스미디어, 소셜미디어)를 대상으로 다양한 채널이나 브랜드 캠페인 등에서 소구되는 브랜드 커뮤니케이션 전략 및 IMC 전략을 기획하고 운영해 본 경험을 의미합니다."
186,2025-01-23 14:05:12.687 +0900,2025-01-23 14:05:12.687 +0900,인하우스 + 외주 경험,인하우스와 외주 경험의 조합 각각 경험
189,2025-01-31 13:50:04.396 +0900,2025-01-31 13:50:04.396 +0900,외부몰,"네이버 스마트스토어, 카카오 선물하기, 쿠팡 등 외부 오픈몰 운영 경험"
191,2025-02-03 12:36:54.188 +0900,2025-02-03 12:37:34.955 +0900,블록체인 및 유사 도메인,"블록체인 및 유사 키워드 도메인(Wep3, 메타버스, 핀테크, 가상화폐, nft, 디지털, RWA, STO 등) 스타트업 경험을 의미합니다."
192,2025-02-03 12:39:28.374 +0900,2025-02-03 12:39:28.374 +0900,다이렉트 소싱,"다이렉트 소싱, 아웃바운드, 인재 스카우트에 해당하는 업무 경험을 의미합니다."
208,2025-02-17 20:22:38.866 +0900,2025-02-17 20:22:38.866 +0900,광고 크리에이티브 기획,"다양한 광고 소재에 대한 Creative 기획 역량을 보유했거나, 경험이 있는 프로필을 의미합니다."
194,2025-02-03 12:42:01.644 +0900,2025-02-03 12:42:01.644 +0900,경영지원,경영지원(ga/hr/인사총무) 업무 경험을 의미합니다.
193,2025-02-03 12:40:26.495 +0900,2025-02-03 12:44:13.540 +0900,20-50명 조직 hr,(수호아이오) hr로서 합류/근무한 시기에 20-50인 규모인 조직에서 몸을 담았던 경험을 의미합니다.
195,2025-02-06 11:57:40.106 +0900,2025-02-06 11:57:40.106 +0900,포트폴리오 fit,(데이지크) 데이지크 브랜드 이미지 및 촬영 무드 fit이 후보자의 포트폴리오 내 촬영 작업물 fit과 유사한 경우를 의미합니다.
209,2025-02-18 16:26:48.954 +0900,2025-02-18 16:26:48.954 +0900,CRM,CRM 마케터 경력이 3년 이상인 프로필을 의미합니다.
196,2025-02-06 12:05:57.041 +0900,2025-02-06 12:07:30.319 +0900,비주얼 화보 경험,"브랜드 상품이나 모델을 대상으로 한 비주얼 중심 사진/영상 콘텐츠를 포토그래퍼로서 직접 촬영했거나, 비주얼 디렉터로서 기획 총괄하며 현장 상황을 판단하고 리드하여 작업해 본 경험을 의미합니다."
177,2025-01-15 17:52:11.385 +0900,2025-02-06 12:07:59.392 +0900,충분한 현장 경험,"(데이지크) 상업적 사진/영상 콘텐츠 촬영 현장에서 스케줄 관리, 예산 관리, 소품 제작 및 마련, 현장 세팅 등의 업무에 스태프로서 참여해본 경험이 있어, 화보 기획~제작 전반의 과정에 총괄자로서 참여할 수 있을 정도로의 역량 경험을 의미합니다."
197,2025-02-12 14:01:49.924 +0900,2025-02-12 14:01:49.924 +0900,앱테크,"캐시노트, 캐시슬라이드 등 앱테크 회사 경험"
199,2025-02-14 23:16:28.595 +0900,2025-02-14 23:16:28.595 +0900,MLOps,"머신 러닝 팀, AI 팀을 위해 Ops 기능을 경험한 것을 의미합니다."
200,2025-02-14 23:16:58.550 +0900,2025-02-14 23:16:58.550 +0900,PipeLine,"데이터 분석, 학습 등을 위해 데이터 파이프라이닝 구축을 한 경험이 있는 것을 의미합니다."
201,2025-02-14 23:17:07.978 +0900,2025-02-14 23:17:07.978 +0900,DW/DM,"데이터 웨어하우스 구축 또는 관리, 데이터 마트 구축 또는 관리를 한 경험을 의미합니다."
205,2025-02-17 20:22:06.151 +0900,2025-02-17 20:22:06.151 +0900,교육 도메인,교육과 관련된 모든 에듀테크 도메인에서의 경험을 의미합니다.
206,2025-02-17 20:22:17.636 +0900,2025-02-17 20:22:17.636 +0900,초기/신규 서비스 경험,신규 서비스 혹은 초기 단계에서의 서비스나 사업 마케팅 업무를 수행해 본 경험을 의미합니다.
207,2025-02-17 20:22:27.251 +0900,2025-02-17 20:22:27.251 +0900,폭넓은 마케팅 경험,"(뤼이드에서 파생됨) 퍼포먼스 마케팅 외, 브랜드 마케팅을 위한 그로스, 콘텐츠, CRM, 브랜드, 디지털 마케팅 등 다양한 마케팅 업무 수행 경험이 있는 프로필을 의미합니다."
210,2025-02-18 16:26:58.638 +0900,2025-02-18 16:26:58.638 +0900,Braze,CRM 솔루션 툴 Braze 사용 경험을 의미합니다.
211,2025-02-18 16:27:06.585 +0900,2025-02-18 16:27:06.585 +0900,Data Literacy,"데이터를 읽고 해석하여 업무에 잘 활용할 수 있는 능력 혹은, 구조적으로 사고하는 능력을 의미합니다."
213,2025-02-18 16:27:20.699 +0900,2025-02-18 16:27:20.699 +0900,DA,"DA 백그라운드가 있거나, 현재 DA로 재직 중인 프로필을 의미합니다."
219,2025-02-26 19:05:11.072 +0900,2025-02-26 19:05:11.072 +0900,챗봇,"chatbot(챗봇) 형태의 서비스, product 경험을 의미합니다."
220,2025-02-26 19:05:26.117 +0900,2025-02-26 19:05:26.117 +0900,납품/패키징,"SI 쪽 전용 태그, 기존 솔루션을 고객사에게 맞춰 커스터마이징을 하거나, 이를 위한 패키징 경험 또는 납품을 위해 고객사와 소통하고 해당 프로젝트를 리딩한 경험을 의미합니다."
224,2025-03-03 01:46:15.502 +0900,2025-03-03 01:46:15.502 +0900,WPF,Windows Presentation Foundation
183,2025-01-21 16:20:13.890 +0900,2025-05-11 18:30:45.912 +0900,인하우스,기업 및 브랜드의 인하우스 담당자로서 업무를 수행한 경험을 의미합니다.
212,2025-02-18 16:27:13.629 +0900,2025-07-16 14:40:25.773 +0900,2030여성타겟,"2030 여성 유저를 집중적으로 타겟하거나, 유저에서의 비중이 높은 서비스에서의 업무 경험을 의미합니다."
214,2025-02-18 16:27:29.777 +0900,2025-07-31 22:12:54.297 +0900,퍼포먼스마케터,순수 퍼포먼스마케터 백그라운드가 있는 프로필을 의미합니다.
221,2025-02-28 15:32:13.723 +0900,2025-09-09 17:57:56.187 +0900,BD,사업개발(Business Development)
228,2025-03-03 18:08:14.980 +0900,2025-03-03 18:08:14.980 +0900,"배차,물류 / 배송망 / 주문,결제",실시간 배차 및 물류 시스템 개발 경험 또는 배송망 최적화 및 재고 관리 시스템 개발 경험 또는 주문 및 결제 시스템 구축 경험 경험과 같이 유사한 프로젝트 실무 경험을 의미합니다.
229,2025-03-04 17:12:01.187 +0900,2025-03-04 17:12:01.187 +0900,서버 리팩토링,레거시 시스템을 리팩토링한 경험을 의미합니다.
230,2025-03-04 17:12:21.404 +0900,2025-03-04 17:12:21.404 +0900,DB 마이그레이션,데이터베이스 마이그레이션 경험을 의미합니다.
179,2025-01-21 16:17:13.710 +0900,2025-03-06 11:42:13.225 +0900,광고 매체,"Google, Meta, Naver, Kakao 등 주요 디지털 매체에서의 채널 및 광고 집행을 직접 운영해 본 경험을 의미합니다."
231,2025-03-06 12:00:27.980 +0900,2025-03-06 12:00:27.980 +0900,앱 마케터,모바일 앱 서비스에서의 마케팅 경험을 의미합니다.
234,2025-03-06 12:05:10.288 +0900,2025-03-06 12:05:44.378 +0900,OKR,OKR 플랜을 직접 수립하고 진행하여 성과를 분석하고 최적화한 경험을 의미합니다.
